NumQuestions,count_nulls,count_not_nulls,CreationDateOnly
"183","173","10","2008-12-28 00:00:00"
"365","344","21","2008-12-29 00:00:00"
"455","428","27","2008-12-30 00:00:00"
"323","300","23","2008-12-31 00:00:00"
"195","182","13","2009-01-01 00:00:00"
"381","362","19","2009-01-02 00:00:00"
"239","222","17","2009-01-03 00:00:00"
"284","266","18","2009-01-04 00:00:00"
"478","460","18","2009-01-05 00:00:00"
"604","560","44","2009-01-06 00:00:00"
"646","608","38","2009-01-07 00:00:00"
"621","585","36","2009-01-08 00:00:00"
"591","554","37","2009-01-09 00:00:00"
"278","268","10","2009-01-10 00:00:00"
"337","312","25","2009-01-11 00:00:00"
"621","595","26","2009-01-12 00:00:00"
"677","652","25","2009-01-13 00:00:00"
"671","633","38","2009-01-14 00:00:00"
"712","677","35","2009-01-15 00:00:00"
"608","571","37","2009-01-16 00:00:00"
"309","283","26","2009-01-17 00:00:00"
"305","282","23","2009-01-18 00:00:00"
"638","612","26","2009-01-19 00:00:00"
"682","648","34","2009-01-20 00:00:00"
"705","673","32","2009-01-21 00:00:00"
"664","634","30","2009-01-22 00:00:00"
"673","644","29","2009-01-23 00:00:00"
"291","273","18","2009-01-24 00:00:00"
"275","261","14","2009-01-25 00:00:00"
"623","589","34","2009-01-26 00:00:00"
"704","673","31","2009-01-27 00:00:00"
"692","665","27","2009-01-28 00:00:00"
"725","675","50","2009-01-29 00:00:00"
"649","615","34","2009-01-30 00:00:00"
"317","299","18","2009-01-31 00:00:00"
"295","279","16","2009-02-01 00:00:00"
"622","596","26","2009-02-02 00:00:00"
"731","695","36","2009-02-03 00:00:00"
"802","766","36","2009-02-04 00:00:00"
"805","772","33","2009-02-05 00:00:00"
"711","675","36","2009-02-06 00:00:00"
"345","315","30","2009-02-07 00:00:00"
"318","298","20","2009-02-08 00:00:00"
"727","679","48","2009-02-09 00:00:00"
"804","759","45","2009-02-10 00:00:00"
"825","776","49","2009-02-11 00:00:00"
"914","870","44","2009-02-12 00:00:00"
"725","693","32","2009-02-13 00:00:00"
"294","279","15","2009-02-14 00:00:00"
"311","295","16","2009-02-15 00:00:00"
"619","596","23","2009-02-16 00:00:00"
"744","713","31","2009-02-17 00:00:00"
"783","737","46","2009-02-18 00:00:00"
"769","725","44","2009-02-19 00:00:00"
"702","669","33","2009-02-20 00:00:00"
"330","311","19","2009-02-21 00:00:00"
"379","352","27","2009-02-22 00:00:00"
"745","708","37","2009-02-23 00:00:00"
"810","776","34","2009-02-24 00:00:00"
"823","793","30","2009-02-25 00:00:00"
"884","847","37","2009-02-26 00:00:00"
"792","752","40","2009-02-27 00:00:00"
"335","318","17","2009-02-28 00:00:00"
"334","319","15","2009-03-01 00:00:00"
"695","658","37","2009-03-02 00:00:00"
"858","819","39","2009-03-03 00:00:00"
"839","806","33","2009-03-04 00:00:00"
"807","775","32","2009-03-05 00:00:00"
"744","713","31","2009-03-06 00:00:00"
"340","322","18","2009-03-07 00:00:00"
"353","331","22","2009-03-08 00:00:00"
"772","744","28","2009-03-09 00:00:00"
"810","784","26","2009-03-10 00:00:00"
"785","756","29","2009-03-11 00:00:00"
"835","799","36","2009-03-12 00:00:00"
"802","762","40","2009-03-13 00:00:00"
"374","344","30","2009-03-14 00:00:00"
"345","327","18","2009-03-15 00:00:00"
"793","759","34","2009-03-16 00:00:00"
"785","759","26","2009-03-17 00:00:00"
"801","762","39","2009-03-18 00:00:00"
"778","744","34","2009-03-19 00:00:00"
"804","773","31","2009-03-20 00:00:00"
"354","338","16","2009-03-21 00:00:00"
"307","293","14","2009-03-22 00:00:00"
"794","767","27","2009-03-23 00:00:00"
"842","804","38","2009-03-24 00:00:00"
"894","865","29","2009-03-25 00:00:00"
"832","796","36","2009-03-26 00:00:00"
"793","766","27","2009-03-27 00:00:00"
"392","374","18","2009-03-28 00:00:00"
"351","334","17","2009-03-29 00:00:00"
"792","771","21","2009-03-30 00:00:00"
"827","794","33","2009-03-31 00:00:00"
"884","851","33","2009-04-01 00:00:00"
"910","869","41","2009-04-02 00:00:00"
"781","743","38","2009-04-03 00:00:00"
"369","354","15","2009-04-04 00:00:00"
"371","349","22","2009-04-05 00:00:00"
"765","733","32","2009-04-06 00:00:00"
"889","852","37","2009-04-07 00:00:00"
"899","861","38","2009-04-08 00:00:00"
"828","795","33","2009-04-09 00:00:00"
"579","551","28","2009-04-10 00:00:00"
"372","358","14","2009-04-11 00:00:00"
"337","329","8","2009-04-12 00:00:00"
"656","627","29","2009-04-13 00:00:00"
"776","754","22","2009-04-14 00:00:00"
"877","829","48","2009-04-15 00:00:00"
"837","808","29","2009-04-16 00:00:00"
"856","820","36","2009-04-17 00:00:00"
"372","355","17","2009-04-18 00:00:00"
"393","371","22","2009-04-19 00:00:00"
"849","816","33","2009-04-20 00:00:00"
"977","937","40","2009-04-21 00:00:00"
"914","865","49","2009-04-22 00:00:00"
"894","858","36","2009-04-23 00:00:00"
"812","779","33","2009-04-24 00:00:00"
"437","421","16","2009-04-25 00:00:00"
"395","376","19","2009-04-26 00:00:00"
"835","808","27","2009-04-27 00:00:00"
"964","934","30","2009-04-28 00:00:00"
"925","886","39","2009-04-29 00:00:00"
"1008","966","42","2009-04-30 00:00:00"
"796","773","23","2009-05-01 00:00:00"
"419","395","24","2009-05-02 00:00:00"
"479","461","18","2009-05-03 00:00:00"
"920","889","31","2009-05-04 00:00:00"
"1049","1010","39","2009-05-05 00:00:00"
"1058","1030","28","2009-05-06 00:00:00"
"1137","1089","48","2009-05-07 00:00:00"
"1025","991","34","2009-05-08 00:00:00"
"444","418","26","2009-05-09 00:00:00"
"403","388","15","2009-05-10 00:00:00"
"952","909","43","2009-05-11 00:00:00"
"1105","1063","42","2009-05-12 00:00:00"
"1171","1133","38","2009-05-13 00:00:00"
"1130","1079","51","2009-05-14 00:00:00"
"1003","961","42","2009-05-15 00:00:00"
"439","427","12","2009-05-16 00:00:00"
"445","434","11","2009-05-17 00:00:00"
"996","957","39","2009-05-18 00:00:00"
"1138","1096","42","2009-05-19 00:00:00"
"1116","1077","39","2009-05-20 00:00:00"
"1068","1032","36","2009-05-21 00:00:00"
"981","952","29","2009-05-22 00:00:00"
"457","435","22","2009-05-23 00:00:00"
"432","418","14","2009-05-24 00:00:00"
"741","722","19","2009-05-25 00:00:00"
"1031","998","33","2009-05-26 00:00:00"
"1168","1143","25","2009-05-27 00:00:00"
"1161","1121","40","2009-05-28 00:00:00"
"1047","1009","38","2009-05-29 00:00:00"
"482","463","19","2009-05-30 00:00:00"
"449","429","20","2009-05-31 00:00:00"
"942","907","35","2009-06-01 00:00:00"
"1114","1078","36","2009-06-02 00:00:00"
"1165","1133","32","2009-06-03 00:00:00"
"1209","1162","47","2009-06-04 00:00:00"
"1011","972","39","2009-06-05 00:00:00"
"454","442","12","2009-06-06 00:00:00"
"436","420","16","2009-06-07 00:00:00"
"1019","985","34","2009-06-08 00:00:00"
"1180","1141","39","2009-06-09 00:00:00"
"1243","1201","42","2009-06-10 00:00:00"
"1202","1172","30","2009-06-11 00:00:00"
"1083","1044","39","2009-06-12 00:00:00"
"454","428","26","2009-06-13 00:00:00"
"439","424","15","2009-06-14 00:00:00"
"1070","1021","49","2009-06-15 00:00:00"
"1165","1121","44","2009-06-16 00:00:00"
"1197","1155","42","2009-06-17 00:00:00"
"1248","1203","45","2009-06-18 00:00:00"
"966","926","40","2009-06-19 00:00:00"
"453","427","26","2009-06-20 00:00:00"
"494","473","21","2009-06-21 00:00:00"
"1090","1043","47","2009-06-22 00:00:00"
"1273","1226","47","2009-06-23 00:00:00"
"1248","1200","48","2009-06-24 00:00:00"
"1167","1131","36","2009-06-25 00:00:00"
"1123","1086","37","2009-06-26 00:00:00"
"461","449","12","2009-06-27 00:00:00"
"496","473","23","2009-06-28 00:00:00"
"1137","1102","35","2009-06-29 00:00:00"
"1250","1195","55","2009-06-30 00:00:00"
"1149","1111","38","2009-07-01 00:00:00"
"1191","1139","52","2009-07-02 00:00:00"
"841","814","27","2009-07-03 00:00:00"
"425","399","26","2009-07-04 00:00:00"
"393","377","16","2009-07-05 00:00:00"
"1033","1004","29","2009-07-06 00:00:00"
"1274","1221","53","2009-07-07 00:00:00"
"1295","1247","48","2009-07-08 00:00:00"
"1289","1240","49","2009-07-09 00:00:00"
"1208","1164","44","2009-07-10 00:00:00"
"540","519","21","2009-07-11 00:00:00"
"472","450","22","2009-07-12 00:00:00"
"1183","1145","38","2009-07-13 00:00:00"
"1242","1193","49","2009-07-14 00:00:00"
"1365","1323","42","2009-07-15 00:00:00"
"1400","1352","48","2009-07-16 00:00:00"
"1202","1164","38","2009-07-17 00:00:00"
"578","552","26","2009-07-18 00:00:00"
"516","496","20","2009-07-19 00:00:00"
"1210","1173","37","2009-07-20 00:00:00"
"1316","1273","43","2009-07-21 00:00:00"
"1466","1412","54","2009-07-22 00:00:00"
"1421","1373","48","2009-07-23 00:00:00"
"1221","1180","41","2009-07-24 00:00:00"
"582","554","28","2009-07-25 00:00:00"
"540","524","16","2009-07-26 00:00:00"
"1225","1182","43","2009-07-27 00:00:00"
"1383","1330","53","2009-07-28 00:00:00"
"1437","1391","46","2009-07-29 00:00:00"
"1367","1308","59","2009-07-30 00:00:00"
"1236","1199","37","2009-07-31 00:00:00"
"542","525","17","2009-08-01 00:00:00"
"508","493","15","2009-08-02 00:00:00"
"1173","1140","33","2009-08-03 00:00:00"
"1220","1171","49","2009-08-04 00:00:00"
"1343","1306","37","2009-08-05 00:00:00"
"1401","1352","49","2009-08-06 00:00:00"
"1208","1169","39","2009-08-07 00:00:00"
"561","545","16","2009-08-08 00:00:00"
"550","526","24","2009-08-09 00:00:00"
"1223","1180","43","2009-08-10 00:00:00"
"1305","1274","31","2009-08-11 00:00:00"
"1362","1322","40","2009-08-12 00:00:00"
"1371","1330","41","2009-08-13 00:00:00"
"1266","1226","40","2009-08-14 00:00:00"
"503","485","18","2009-08-15 00:00:00"
"561","539","22","2009-08-16 00:00:00"
"1269","1235","34","2009-08-17 00:00:00"
"1412","1382","30","2009-08-18 00:00:00"
"1413","1363","50","2009-08-19 00:00:00"
"1453","1408","45","2009-08-20 00:00:00"
"1164","1126","38","2009-08-21 00:00:00"
"574","557","17","2009-08-22 00:00:00"
"542","518","24","2009-08-23 00:00:00"
"1262","1228","34","2009-08-24 00:00:00"
"1431","1395","36","2009-08-25 00:00:00"
"1510","1458","52","2009-08-26 00:00:00"
"1456","1412","44","2009-08-27 00:00:00"
"1276","1238","38","2009-08-28 00:00:00"
"605","585","20","2009-08-29 00:00:00"
"610","585","25","2009-08-30 00:00:00"
"1183","1148","35","2009-08-31 00:00:00"
"1254","1221","33","2009-09-01 00:00:00"
"1348","1311","37","2009-09-02 00:00:00"
"1421","1384","37","2009-09-03 00:00:00"
"1243","1208","35","2009-09-04 00:00:00"
"575","559","16","2009-09-05 00:00:00"
"567","544","23","2009-09-06 00:00:00"
"1031","1007","24","2009-09-07 00:00:00"
"1386","1348","38","2009-09-08 00:00:00"
"1399","1369","30","2009-09-09 00:00:00"
"1381","1344","37","2009-09-10 00:00:00"
"1283","1249","34","2009-09-11 00:00:00"
"586","570","16","2009-09-12 00:00:00"
"614","594","20","2009-09-13 00:00:00"
"1263","1236","27","2009-09-14 00:00:00"
"1373","1334","39","2009-09-15 00:00:00"
"1370","1340","30","2009-09-16 00:00:00"
"1390","1354","36","2009-09-17 00:00:00"
"1214","1182","32","2009-09-18 00:00:00"
"584","567","17","2009-09-19 00:00:00"
"589","565","24","2009-09-20 00:00:00"
"1226","1195","31","2009-09-21 00:00:00"
"1402","1363","39","2009-09-22 00:00:00"
"1399","1363","36","2009-09-23 00:00:00"
"1337","1307","30","2009-09-24 00:00:00"
"1230","1197","33","2009-09-25 00:00:00"
"552","534","18","2009-09-26 00:00:00"
"586","576","10","2009-09-27 00:00:00"
"1170","1143","27","2009-09-28 00:00:00"
"1364","1318","46","2009-09-29 00:00:00"
"1409","1372","37","2009-09-30 00:00:00"
"1354","1321","33","2009-10-01 00:00:00"
"1224","1193","31","2009-10-02 00:00:00"
"669","649","20","2009-10-03 00:00:00"
"607","588","19","2009-10-04 00:00:00"
"1277","1251","26","2009-10-05 00:00:00"
"1445","1405","40","2009-10-06 00:00:00"
"1450","1408","42","2009-10-07 00:00:00"
"1532","1487","45","2009-10-08 00:00:00"
"1274","1231","43","2009-10-09 00:00:00"
