Daily means        Year 1990                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
13,96467,30763,43931,46575,26470,53438,71982,327991,141201,46751,30762,19027,,,,,,,,,,,,,,,,,,,
14,115700,32478,39863,38717,34269,46994,65246,162510,112677,284120,26574,17096,,,,,,,,,,,,,,,,,,,
15,108640,72800,36443,31613,134591,42167,66415,118887,92503,132320,24230,15714,,,,,,,,,,,,,,,,,,,
16,91385,72172,33687,28308,166323,42227,400619,115437,81868,84004,22449,14608,,,,,,,,,,,,,,,,,,,
17,65983,49673,31697,25962,105918,49139,241474,142789,88154,65874,21793,13575,,,,,,,,,,,,,,,,,,,
18,52764,38931,30166,24369,68208,43091,122254,120247,94995,104211,36522,34435,,,,,,,,,,,,,,,,,,,
19,45894,32478,28306,23222,55716,40794,93090,99320,72840,107942,54152,121936,,,,,,,,,,,,,,,,,,,
20,41152,32866,114069,22999,51146,98355,77557,116327,63878,98253,38556,49834,,,,,,,,,,,,,,,,,,,
21,38590,42172,380744,22188,43876,198697,67611,163120,59485,87114,29601,26899,,,,,,,,,,,,,,,,,,,
22,35079,34770,299088,21040,38196,149661,61247,123553,54801,98631,25024,29671,,,,,,,,,,,,,,,,,,,
23,46207,82613,190285,19418,34442,94988,88559,102473,49886,111045,22335,38872,,,,,,,,,,,,,,,,,,,
24,38655,76879,130958,21097,32026,143755,318313,89934,46228,94803,20910,24068,,,,,,,,,,,,,,,,,,,
25,32252,68309,98793,18990,30341,118037,400448,78662,43402,74091,19375,25872,,,,,,,,,,,,,,,,,,,
26,28791,49383,73998,17099,32353,136333,334951,70227,41015,64042,18433,24979,,,,,,,,,,,,,,,,,,,
27,83382,38337,55290,16430,29937,150130,186609,63399,38814,55300,18433,48731,,,,,,,,,,,,,,,,,,,
28,91090,32213,47180,22080,34093,137856,128701,80526,38357,58942,19818,52484,,,,,,,,,,,,,,,,,,,
29,49915,29460,42328,39142,38719,101031,100180,95665,43860,58105,17082,59128,,,,,,,,,,,,,,,,,,,
30,40024,        ,38104,31662,33372,80679,86695,71539,47899,45055,18793,62084,,,,,,,,,,,,,,,,,,,
31,34768,        ,39770,        ,30191,        ,145577,62422,        ,38878,        ,124661,,,,,,,,,,,,,,,,,,,
Min ,28791,21718,28306,16430,17342,25797,55106,62422,38357,38878,17082,13575,13575,,,,,,,,,,,,,,,,,,
Mean,98296,39901,109544,33824,41859,81452,176726,157580,111217,78222,27881,40729,83552,,,,,,,,,,,,,,,,,,
Max ,456948,82613,443426,70427,166323,198697,942712,685525,588162,284120,54152,124661,942712,,,,,,,,,,,,,,,,,,
Daily means        Year 2013                    Stage (mm) at Manawatu at Upper Gorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,58516,10349,6972,8453,54695,42365,58282,37053,89366,220434,115290,143553,,,,,,,,,,,,,,,,,,,
2,40520,10044,6971,8897,50537,54106,52934,35729,82464,155719,75829,91541,,,,,,,,,,,,,,,,,,,
3,38340,9686,7003,8854,40155,77505,47193,38739,73768,114359,57682,67043,,,,,,,,,,,,,,,,,,,
4,36355,10085,7024,10741,46920,56523,47734,57768,67323,91996,49104,55957,,,,,,,,,,,,,,,,,,,
5,28189,63613,6982,11784,37747,140957,46551,88390,151338,78249,43937,57621,,,,,,,,,,,,,,,,,,,
6,24095,53263,7251,10189,41115,165728,42160,72100,158305,68641,42553,52598,,,,,,,,,,,,,,,,,,,
7,21609,28953,6953,9347,51374,106408,59304,78324,107091,61478,98034,45849,,,,,,,,,,,,,,,,,,,
8,19443,20316,6937,8939,56461,80755,86035,74142,87360,58835,92776,42052,,,,,,,,,,,,,,,,,,,
9,17995,16409,6721,12039,45066,64396,63926,74944,88281,69574,65769,47397,,,,,,,,,,,,,,,,,,,
10,16793,13850,6579,12504,37033,56390,61738,54942,69791,80593,53053,48319,,,,,,,,,,,,,,,,,,,
11,15337,12273,6395,10827,31361,77303,358409,59862,77594,81342,45514,40518,,,,,,,,,,,,,,,,,,,
12,14837,11266,6174,9700,27905,115240,1163833,163286,423672,393874,40166,35150,,,,,,,,,,,,,,,,,,,
13,13932,10752,6149,14100,25386,105571,638922,145725,206651,231670,37178,31848,,,,,,,,,,,,,,,,,,,
14,22742,11111,6127,63114,23259,77920,352992,98544,123166,136920,35238,29202,,,,,,,,,,,,,,,,,,,
15,46534,10244,6201,39996,21705,62674,341788,79328,93936,346445,33323,30402,,,,,,,,,,,,,,,,,,,
16,38353,9568,6040,23104,20157,57242,217133,69945,78003,436517,30976,26789,,,,,,,,,,,,,,,,,,,
17,27691,9274,6076,22266,19079,266951,154004,145667,67401,213660,30039,23662,,,,,,,,,,,,,,,,,,,
18,35555,8942,13079,63945,32649,278607,118153,245896,59709,141984,29525,22283,,,,,,,,,,,,,,,,,,,
19,31003,8665,81984,52230,60205,211427,100559,301562,53829,111300,27494,21049,,,,,,,,,,,,,,,,,,,
20,31159,8447,47024,41372,62034,161000,84571,187561,51640,93104,27198,21049,,,,,,,,,,,,,,,,,,,
21,28499,8194,26522,136897,48470,182756,76575,120746,70476,77498,30236,19980,,,,,,,,,,,,,,,,,,,
22,20626,7791,18002,126638,39717,157407,71069,96529,197695,69201,26212,20253,,,,,,,,,,,,,,,,,,,
23,17326,7712,13740,84052,33987,216767,65583,96299,204365,205314,23696,22358,,,,,,,,,,,,,,,,,,,
24,15226,7582,11567,145769,30860,187161,59494,79032,130750,103807,23773,19427,,,,,,,,,,,,,,,,,,,
25,14606,7458,10312,127412,27355,119823,56031,67675,375141,193189,21459,26525,,,,,,,,,,,,,,,,,,,
26,13902,7363,9600,142855,26699,91264,56451,60184,336196,165123,22676,28881,,,,,,,,,,,,,,,,,,,
27,12949,7211,9129,81707,29728,75842,49777,59533,174792,89354,37474,25753,,,,,,,,,,,,,,,,,,,
28,12189,7042,9133,63730,83842,67113,45800,55913,156289,74440,312451,26117,,,,,,,,,,,,,,,,,,,
29,11569,        ,8539,49499,63016,63686,42800,109181,502344,65451,569324,32607,,,,,,,,,,,,,,,,,,,
30,11063,        ,8329,41462,56346,59520,40534,120689,342504,58885,215848,30024,,,,,,,,,,,,,,,,,,,
31,10663,        ,8191,        ,49445,        ,38735,97760,        ,90837,        ,32220,,,,,,,,,,,,,,,,,,,
Min ,10663,7042,6040,8453,19079,42365,38735,35729,51640,58835,21459,19427,6040,,,,,,,,,,,,,,,,,,
Mean,24117,14195,12507,48081,41107,116013,151583,99131,156708,141284,77127,39291,77027,,,,,,,,,,,,,,,,,,
Max ,58516,63613,81984,145769,83842,278607,1163833,301562,502344,436517,569324,143553,1163833,,,,,,,,,,,,,,,,,,
Daily means        Year 2014                    Stage (mm) at Manawatu at Upper Gorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,27147,21948,12532,11332,97231,60046,165575,56649,33280,90663,86350,53334,,,,,,,,,,,,,,,,,,,
2,24631,20423,12396,11093,73771,52879,167166,68572,34747,74871,61925,48227,,,,,,,,,,,,,,,,,,,
3,22402,19126,12541,10777,61202,48210,150028,353925,65957,78483,93530,41393,,,,,,,,,,,,,,,,,,,
4,56910,17793,15970,10417,54252,46073,114492,243544,60342,113056,78197,35966,,,,,,,,,,,,,,,,,,,
5,260801,16725,15437,10347,48966,43422,95000,158518,48476,101984,60592,84217,,,,,,,,,,,,,,,,,,,
6,125664,15518,15536,10374,60754,39537,87259,121519,44087,99030,59846,50617,,,,,,,,,,,,,,,,,,,
7,54141,15030,15795,10974,60430,36263,73722,154569,46575,182222,76862,42028,,,,,,,,,,,,,,,,,,,
8,39878,27996,14533,22965,95132,33830,63892,205915,48980,125947,58956,63023,,,,,,,,,,,,,,,,,,,
9,34310,51298,13182,76916,87854,32643,58097,169971,40974,134797,48037,41652,,,,,,,,,,,,,,,,,,,
10,30401,46100,12399,56569,71851,47148,57922,127221,36045,91702,41906,124284,,,,,,,,,,,,,,,,,,,
11,25901,39794,11878,61201,56632,244459,58776,99108,32734,74544,38296,265512,,,,,,,,,,,,,,,,,,,
12,22926,31407,11560,60890,46829,355477,51972,177413,30061,63695,62579,189446,,,,,,,,,,,,,,,,,,,
13,29843,26010,11384,73459,43439,225218,49649,246472,28994,55056,130643,127115,,,,,,,,,,,,,,,,,,,
14,30726,48226,10966,58437,46810,150032,50200,216008,46993,49072,126090,91287,,,,,,,,,,,,,,,,,,,
15,22659,78329,10838,64827,50642,106539,46716,220036,66747,44135,123957,80975,,,,,,,,,,,,,,,,,,,
16,19866,40423,30163,52641,52628,83904,42376,233114,49644,39827,104310,67078,,,,,,,,,,,,,,,,,,,
17,60055,29083,56345,157525,53008,76356,41136,167758,66341,36570,70044,54434,,,,,,,,,,,,,,,,,,,
18,45108,24039,52799,540991,44746,186847,47078,119777,71287,38378,104951,48509,,,,,,,,,,,,,,,,,,,
19,29867,21205,49155,270035,39301,192498,45677,95554,127392,48679,82466,92361,,,,,,,,,,,,,,,,,,,
20,24390,19227,26027,133237,36057,125851,42167,86840,199357,58575,70121,65775,,,,,,,,,,,,,,,,,,,
21,30514,17767,19725,108212,33641,97499,53790,79718,257271,46181,56867,76505,,,,,,,,,,,,,,,,,,,
22,57314,16650,16802,87485,38382,115347,52596,       ?,164558,38142,101762,71500,,,,,,,,,,,,,,,,,,,
23,44126,15639,15433,103097,46441,       ?,73776,60989,128991,33337,174505,50585,,,,,,,,,,,,,,,,,,,
24,35250,15072,15267,77411,105256,77616,172588,55983,96545,31659,85791,41918,,,,,,,,,,,,,,,,,,,
25,28496,14175,14641,117644,438948,67302,93290,51993,76591,32437,62692,36219,,,,,,,,,,,,,,,,,,,
26,26889,13611,15495,166573,309730,77750,68838,49643,65795,28883,142517,31461,,,,,,,,,,,,,,,,,,,
27,62219,13199,17158,83307,166356,92673,56146,46544,68506,173631,96836,27938,,,,,,,,,,,,,,,,,,,
28,44138,12864,14547,148641,108837,146228,48966,42703,147813,151747,81264,24867,,,,,,,,,,,,,,,,,,,
29,32782,        ,13291,260736,87429,98191,44252,39119,205152,95810,87978,22647,,,,,,,,,,,,,,,,,,,
30,27209,        ,12654,147032,110667,79662,40398,36202,123651,99692,64990,21243,,,,,,,,,,,,,,,,,,,
31,23910,        ,11841,        ,69520,        ,52770,34235,        ,83584,        ,21621,,,,,,,,,,,,,,,,,,,
Min ,19866,12864,10838,10347,33641,32643,40398,34235,28994,28883,38296,21243,10347,,,,,,,,,,,,,,,,,,
Mean,45177,26024,18655,100172,86992,88997,73106.77419,127320.4,83796.2,77948.03226,84495.33333,67539.90323,73352,,,,,,,,,,,,,,,,,,
Max ,260801,78329,56345,540991,438948,379180,172588,353925,257271,182222,174505,265512,540991,,,,,,,,,,,,,,,,,,
Daily means        Year 1990                    Stage (mm) at Manawatu at Weber Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,5189,3712,2214,2995,7263,4178,15213,49999,16509,32510,6680,6226,,,,,,,,,,,,,,,,,,,
2,5036,2892,2071,2847,11147,4092,24775,32425,14311,22871,6812,5345,,,,,,,,,,,,,,,,,,,
3,3852,2502,2004,2750,10790,6220,18951,24104,12969,13303,5128,4779,,,,,,,,,,,,,,,,,,,
4,3377,2241,1983,2586,15427,5807,20193,19344,12058,9709,4582,4397,,,,,,,,,,,,,,,,,,,
5,3258,2093,1962,2571,14383,4670,15692,18643,12174,8077,5348,4353,,,,,,,,,,,,,,,,,,,
6,5851,2037,2005,2514,9857,4512,12956,16053,11005,7171,4945,4238,,,,,,,,,,,,,,,,,,,
7,4307,1920,1919,2472,7978,5552,11305,17757,13289,6244,4462,3672,,,,,,,,,,,,,,,,,,,
8,3629,2085,2117,2446,6842,24145,13560,24922,10517,6596,4014,3503,,,,,,,,,,,,,,,,,,,
9,3288,2699,2228,2796,8599,44109,13403,42814,10022,5683,3714,3237,,,,,,,,,,,,,,,,,,,
10,3223,3636,20591,7178,6729,23124,15309,25780,8983,5157,3509,2959,,,,,,,,,,,,,,,,,,,
11,3008,3572,22465,6836,5659,42563,15898,26569,8751,4865,3407,2899,,,,,,,,,,,,,,,,,,,
12,2668,2751,10290,4328,5108,71988,12979,29140,8894,4944,3489,2742,,,,,,,,,,,,,,,,,,,
13,2465,2552,6559,3631,4757,51568,13734,21291,7894,5195,7782,2687,,,,,,,,,,,,,,,,,,,
14,2607,2918,21623,3278,4971,32806,13158,18162,7243,4555,13205,2453,,,,,,,,,,,,,,,,,,,
15,2817,2956,10269,3056,5223,31471,10937,20515,6739,4407,10447,2395,,,,,,,,,,,,,,,,,,,
16,2566,2631,6599,2897,5161,21415,9673,43671,6531,10970,6789,2567,,,,,,,,,,,,,,,,,,,
17,2510,4090,5262,2899,4558,16313,10448,63356,6144,11569,5668,2869,,,,,,,,,,,,,,,,,,,
18,3453,3564,4339,2962,4168,13194,11834,58240,5955,9099,5093,2391,,,,,,,,,,,,,,,,,,,
19,3536,2831,3773,4266,3964,11215,67740,34530,6418,7430,5051,2241,,,,,,,,,,,,,,,,,,,
20,2617,2739,6782,3388,3957,28304,41937,27608,6337,6436,5093,2699,,,,,,,,,,,,,,,,,,,
21,2349,2708,27949,3621,6439,34547,24935,38357,5952,5677,21033,3234,,,,,,,,,,,,,,,,,,,
22,2167,2560,12961,4500,6532,22968,19389,29767,5721,5292,74193,2931,,,,,,,,,,,,,,,,,,,
23,2039,2435,9480,4049,5331,18327,16232,155081,6038,5167,34061,2906,,,,,,,,,,,,,,,,,,,
24,2086,2310,7706,3760,5202,20271,13544,244535,5685,6554,21654,2757,,,,,,,,,,,,,,,,,,,
25,3563,2160,6255,4935,6463,14744,11592,89969,6195,6888,15371,2676,,,,,,,,,,,,,,,,,,,
26,2638,2090,5524,7013,7643,12083,10241,48230,5487,6290,12236,2595,,,,,,,,,,,,,,,,,,,
27,2104,2662,4786,5679,6342,11680,9289,34946,4803,5145,10015,2319,,,,,,,,,,,,,,,,,,,
28,2085,2674,4143,4986,6691,17463,8926,35321,4436,4666,11522,2165,,,,,,,,,,,,,,,,,,,
29,2188,        ,3727,10548,5467,12720,28019,26523,4251,4871,9249,2159,,,,,,,,,,,,,,,,,,,
30,5662,        ,3418,9243,4954,11357,161802,22109,11576,4421,7115,2056,,,,,,,,,,,,,,,,,,,
31,7103,        ,3184,        ,4478,        ,136297,19388,        ,4190,        ,1990,,,,,,,,,,,,,,,,,,,
Min ,2039,1920,1919,2446,3957,4092,8926,16053,4251,4190,3407,1990,1919,,,,,,,,,,,,,,,,,,
Mean,3330,2715,7296,4234,6841,20780,26128,43844,8430,7934,11055,3111,12230,,,,,,,,,,,,,,,,,,
Max ,7103,4090,27949,10548,15427,71988,161802,244535,16509,32510,74193,6226,244535,,,,,,,,,,,,,,,,,,
Daily means        Year 1991                    Stage (mm) at Manawatu at Weber Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,2033,3086,43411,3001,251938,5903,16563,10178,9929,12106,6967,8092,,,,,,,,,,,,,,,,,,,
2,2209,2769,36420,2909,140942,20848,18228,9486,9044,17659,5714,7123,,,,,,,,,,,,,,,,,,,
3,3150,4042,18529,2846,61637,15505,16336,11079,8094,12416,61784,7604,,,,,,,,,,,,,,,,,,,
4,2632,2975,17225,2810,37499,10258,14544,8940,7216,12095,82182,10335,,,,,,,,,,,,,,,,,,,
5,2150,2482,9544,2880,29083,8603,13836,8073,6899,31827,362739,8759,,,,,,,,,,,,,,,,,,,
6,1912,2186,6764,2867,31418,12022,12234,7690,7929,17200,110805,7296,,,,,,,,,,,,,,,,,,,
7,1772,2053,5509,2884,46057,13705,11070,9532,6769,15119,45174,8050,,,,,,,,,,,,,,,,,,,
8,1728,2043,4977,2799,30191,24558,10136,11596,6197,11547,31889,7023,,,,,,,,,,,,,,,,,,,
9,1671,1933,4412,8424,24394,37671,9603,12496,5762,9341,22882,8284,,,,,,,,,,,,,,,,,,,
10,1875,1795,3896,238604,19859,43571,9441,20834,5409,13273,25088,8442,,,,,,,,,,,,,,,,,,,
11,2012,1712,3937,339232,16378,39155,8530,37588,5054,12023,31119,6597,,,,,,,,,,,,,,,,,,,
12,1815,1719,4347,71055,13652,23537,7990,21775,4842,9548,23805,5820,,,,,,,,,,,,,,,,,,,
13,1664,1747,4087,34026,11936,17501,8094,15828,4692,8395,22583,6356,,,,,,,,,,,,,,,,,,,
14,1629,1796,3459,21908,10641,13800,7641,12806,4798,9774,37144,5711,,,,,,,,,,,,,,,,,,,
15,1590,1687,11650,15972,9492,12235,7141,10837,5797,8829,24023,5186,,,,,,,,,,,,,,,,,,,
16,1622,1610,15153,12303,8692,13343,6788,9471,5870,6999,18126,5759,,,,,,,,,,,,,,,,,,,
17,4865,1908,12899,9929,8154,10497,6455,8852,4879,6153,14399,6090,,,,,,,,,,,,,,,,,,,
18,4672,11658,8289,8434,7964,9551,11247,16134,5855,5624,11952,5263,,,,,,,,,,,,,,,,,,,
19,2727,7252,6317,7260,7918,9443,15851,40430,5813,5452,10392,4425,,,,,,,,,,,,,,,,,,,
20,2413,4336,7635,6458,7017,9456,15740,31887,6998,5006,9080,3860,,,,,,,,,,,,,,,,,,,
21,2423,3339,7161,6724,6411,8266,12151,48016,6381,4803,8153,3595,,,,,,,,,,,,,,,,,,,
22,2249,2663,5525,6240,6137,7437,10680,58435,5492,4601,7573,3530,,,,,,,,,,,,,,,,,,,
23,2024,2301,4648,5314,5811,17415,9805,45967,4862,4208,6654,3546,,,,,,,,,,,,,,,,,,,
24,1863,2091,4183,6042,5580,26514,10255,29999,5336,3998,7448,5691,,,,,,,,,,,,,,,,,,,
25,2599,2402,3756,7981,5303,23482,16743,22539,5775,4156,6891,4741,,,,,,,,,,,,,,,,,,,
26,4172,3394,3618,11922,5139,22196,32201,18416,6558,3921,6724,8762,,,,,,,,,,,,,,,,,,,
27,2863,2804,3621,11411,5394,19526,22216,15512,5625,3761,8718,5453,,,,,,,,,,,,,,,,,,,
28,4110,3025,3582,17875,5978,50622,16985,13321,5375,3680,6163,4334,,,,,,,,,,,,,,,,,,,
29,3188,        ,3361,106439,7145,26264,13625,11904,5312,7924,8792,4098,,,,,,,,,,,,,,,,,,,
30,4278,        ,3284,39608,7888,20180,12568,10697,5574,20497,13345,4989,,,,,,,,,,,,,,,,,,,
31,3989,        ,3143,        ,6552,        ,11498,9713,        ,9763,        ,7773,,,,,,,,,,,,,,,,,,,
Min ,1590,1610,3143,2799,5139,5903,6455,7690,4692,3680,5714,3530,1590,,,,,,,,,,,,,,,,,,
Mean,2577,2957,8850,33872,27168,19102,12781,19356,6138,9732,34610,6212,15292,,,,,,,,,,,,,,,,,,
Max ,4865,11658,43411,339232,251938,50622,32201,58435,9929,31827,362739,10335,362739,,,,,,,,,,,,,,,,,,
Daily means        Year 1992                    Stage (mm) at Manawatu at Weber Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,56587,2770,6105,3852,4031,24913,12114,28812,10673,18919,14756,9820,,,,,,,,,,,,,,,,,,,
2,29506,2617,5508,3910,3909,19291,10828,25872,16002,18018,12563,21574,,,,,,,,,,,,,,,,,,,
3,19041,2469,5082,4850,5334,15464,10764,21388,33374,36888,10891,13895,,,,,,,,,,,,,,,,,,,
4,13217,2379,5372,5100,6891,13063,11262,22772,21934,30353,10037,35854,,,,,,,,,,,,,,,,,,,
5,9934,2503,4692,5256,5298,11198,10014,32262,17111,23833,9593,76934,,,,,,,,,,,,,,,,,,,
6,7711,12913,4291,9220,4755,10446,22842,22392,15801,18766,8358,33060,,,,,,,,,,,,,,,,,,,
7,6498,7260,4136,6964,4689,125026,16937,19081,25685,15377,7235,23615,,,,,,,,,,,,,,,,,,,
8,6141,5131,4285,5388,8627,47017,18409,17453,32319,12866,8285,16929,,,,,,,,,,,,,,,,,,,
9,5594,3895,7670,4671,21490,27867,30198,18426,21308,11211,9428,13251,,,,,,,,,,,,,,,,,,,
10,5304,4098,6157,4357,23355,20806,77808,22302,26066,9959,7220,11939,,,,,,,,,,,,,,,,,,,
11,4589,3843,5794,11331,19393,17224,38743,35800,20376,8954,6646,15009,,,,,,,,,,,,,,,,,,,
12,4297,3117,4731,36517,14426,16624,30565,33133,16481,8326,6060,20302,,,,,,,,,,,,,,,,,,,
13,4201,2758,5854,19878,12171,29176,25668,42014,13540,7998,5434,23179,,,,,,,,,,,,,,,,,,,
14,4019,2558,5344,12903,9914,51934,24419,34060,11843,80934,4970,15300,,,,,,,,,,,,,,,,,,,
15,3630,37402,4310,9987,8823,43880,34415,64434,12657,424731,5131,11329,,,,,,,,,,,,,,,,,,,
16,3270,131962,4415,8422,9179,66531,50709,44350,13173,266300,18348,9283,,,,,,,,,,,,,,,,,,,
17,3304,29142,6465,7467,7896,38383,30978,43902,99635,98422,18423,8246,,,,,,,,,,,,,,,,,,,
18,6925,15890,8220,6614,7161,27239,23652,30693,86500,50299,8140,13496,,,,,,,,,,,,,,,,,,,
19,4984,10724,5768,6014,6554,33751,19506,25408,76012,33907,18430,26271,,,,,,,,,,,,,,,,,,,
20,3513,8206,5978,5699,6151,39898,16592,30899,41940,25115,21334,23733,,,,,,,,,,,,,,,,,,,
21,3200,23046,5127,5196,14011,27775,24729,22613,30060,20338,15621,17602,,,,,,,,,,,,,,,,,,,
22,2978,58853,12039,4755,14571,21865,558263,22298,22600,18337,17099,12563,,,,,,,,,,,,,,,,,,,
23,2843,23348,16054,4573,10742,18900,461127,19125,18208,18448,18007,9961,,,,,,,,,,,,,,,,,,,
24,2757,14903,11319,4378,8735,19778,94894,16835,99511,67788,25264,11055,,,,,,,,,,,,,,,,,,,
25,2800,11136,8631,4149,12605,20212,61495,14510,54027,215286,42214,35257,,,,,,,,,,,,,,,,,,,
26,5411,9215,7036,3989,19282,29984,47211,12888,33269,74102,25845,16546,,,,,,,,,,,,,,,,,,,
27,4197,7704,6117,5055,14183,20310,48332,14985,26936,41825,18867,14654,,,,,,,,,,,,,,,,,,,
28,3350,6577,5482,7073,20926,16355,38020,14398,22563,29836,15480,19625,,,,,,,,,,,,,,,,,,,
29,3082,7154,4939,5142,56522,14184,34775,12339,30088,23464,11643,51062,,,,,,,,,,,,,,,,,,,
30,2940,        ,4485,4365,53685,14507,30372,11137,24912,20619,11170,44714,,,,,,,,,,,,,,,,,,,
31,2981,        ,4060,        ,38094,        ,35755,11353,        ,16839,        ,26550,,,,,,,,,,,,,,,,,,,
Min ,2757,2379,4060,3852,3909,10446,10014,11137,10673,7998,4970,8246,2379,,,,,,,,,,,,,,,,,,
Mean,7704,15640,6305,7569,14626,29453,62948,25417,32487,56389,13750,22020,24615,,,,,,,,,,,,,,,,,,
Max ,56587,131962,16054,36517,56522,125026,558263,64434,99635,424731,42214,76934,558263,,,,,,,,,,,,,,,,,,
Daily means        Year 1993                    Stage (mm) at Manawatu at Weber Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,19941,4958,11876,16234,9444,4614,10718,2852,4854,8370,8085,8553,,,,,,,,,,,,,,,,,,,
2,14882,4353,9899,20020,28795,5991,9088,2933,4482,7530,8124,6515,,,,,,,,,,,,,,,,,,,
3,21397,10569,8346,11637,20809,6777,7866,5295,4123,6700,5606,8296,,,,,,,,,,,,,,,,,,,
4,20134,5887,7507,9122,14364,5135,7120,5668,3946,5904,5241,13478,,,,,,,,,,,,,,,,,,,
5,13415,3553,31331,8391,11240,4564,6634,10066,80581,5405,4234,9331,,,,,,,,,,,,,,,,,,,
6,11730,2903,21383,7622,9229,5379,6167,5928,76473,4973,3750,7385,,,,,,,,,,,,,,,,,,,
7,9217,2488,13004,6451,9281,6886,7416,5001,53281,4796,8121,12379,,,,,,,,,,,,,,,,,,,
8,8048,2206,10002,6058,7794,5973,9136,4463,32376,5826,5161,10525,,,,,,,,,,,,,,,,,,,
9,6763,2046,8439,5262,6831,7624,12245,6155,22177,5109,5340,8444,,,,,,,,,,,,,,,,,,,
10,5684,1936,7521,18099,6398,6894,11579,31108,16388,4506,4063,6959,,,,,,,,,,,,,,,,,,,
11,5022,2036,6650,11258,7293,5454,9765,27123,13328,4699,3531,6032,,,,,,,,,,,,,,,,,,,
12,4546,2669,6218,7936,6265,4924,8465,15799,11899,10777,4035,5233,,,,,,,,,,,,,,,,,,,
13,4722,3305,21773,6578,5569,4917,7597,11569,12560,9346,5628,4522,,,,,,,,,,,,,,,,,,,
14,5145,2413,12700,11051,5217,7584,6978,9341,12501,6015,4502,4092,,,,,,,,,,,,,,,,,,,
15,5017,2164,8652,11249,4797,25330,6398,7806,9666,5092,3927,3715,,,,,,,,,,,,,,,,,,,
16,5208,2029,7103,9217,4677,17598,5820,10400,8327,6391,3414,3580,,,,,,,,,,,,,,,,,,,
17,7178,1895,6151,7594,16945,12117,5454,9043,7799,5359,3052,3362,,,,,,,,,,,,,,,,,,,
18,4319,1777,6167,6581,34134,9513,5067,13084,7855,4375,2840,3635,,,,,,,,,,,,,,,,,,,
19,3625,1953,8968,5809,30909,8077,4607,13459,8811,4060,2994,3541,,,,,,,,,,,,,,,,,,,
20,3301,177848,6618,5369,22523,7047,4230,10107,8852,4206,2854,2961,,,,,,,,,,,,,,,,,,,
21,2893,104734,5513,5308,16423,6564,4035,8817,9796,4362,11669,2711,,,,,,,,,,,,,,,,,,,
22,2741,40035,17881,15105,12972,5627,4189,7701,8419,4425,59436,2970,,,,,,,,,,,,,,,,,,,
23,2762,131835,11910,9395,10831,5006,3875,7114,7542,4434,19233,4786,,,,,,,,,,,,,,,,,,,
24,2599,102756,8296,7080,9388,4729,3613,7029,7250,5998,41533,7685,,,,,,,,,,,,,,,,,,,
25,2424,47452,7013,6285,8245,5476,4270,6659,8145,5075,31148,6792,,,,,,,,,,,,,,,,,,,
26,2468,29973,7165,5737,7276,14497,3788,5472,14296,3899,14472,4217,,,,,,,,,,,,,,,,,,,
27,3131,20417,6015,5559,6806,8254,3325,5025,14224,3557,12089,3848,,,,,,,,,,,,,,,,,,,
28,2898,14929,5022,5534,7523,14930,3160,6342,15470,3339,9045,3908,,,,,,,,,,,,,,,,,,,
29,2443,        ,4860,5236,6200,21807,3038,6887,11041,3102,7851,3351,,,,,,,,,,,,,,,,,,,
30,2253,        ,5171,5807,5429,13011,2965,6171,9355,2864,17448,2874,,,,,,,,,,,,,,,,,,,
31,4325,        ,5087,        ,4939,        ,2878,5377,        ,3315,        ,2683,,,,,,,,,,,,,,,,,,,
Min ,2253,1777,4860,5236,4677,4564,2878,2852,3946,2864,2840,2683,1777,,,,,,,,,,,,,,,,,,
Mean,6782,26111,9814,8753,11566,8743,6177,9026,16861,5284,10614,5754,10320,,,,,,,,,,,,,,,,,,
Max ,21397,177848,31331,20020,34134,25330,12245,31108,80581,10777,59436,13478,177848,,,,,,,,,,,,,,,,,,
Daily means        Year 1994                    Stage (mm) at Manawatu at Weber Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
