"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.1990.1.January",1990-01-01,4131,2660,2,NA,1355,4417,4501,5231,2,NA,2585,6017,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.2.January",1990-01-02,2520,1622,2,NA,809,3836,4412,4491,2,NA,1743,5335,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.3.January",1990-01-03,2520,858,2,NA,219,3112,3630,4034,2,NA,1633,4894,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.4.January",1990-01-04,2744,507,2,NA,5983,2723,3219,3881,2,NA,936,4639,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.5.January",1990-01-05,3609,6130,2,NA,458,5113,3103,3102,2,NA,1669,2120,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.6.January",1990-01-06,3222,4872,2,NA,900,5394,4838,647,2,NA,4245,1885,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.7.January",1990-01-07,3140,3081,2,NA,411,4012,3966,5387,2,NA,2688,88,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.8.January",1990-01-08,3140,2051,2,NA,50,3301,3446,4654,2,NA,1819,5454,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.9.January",1990-01-09,3140,1339,2,NA,5950,2841,3138,4347,2,NA,1777,5034,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.10.January",1990-01-10,3105,1125,2,NA,5861,2779,3066,4435,2,NA,1753,5042,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.11.January",1990-01-11,3054,649,2,NA,5613,2498,2850,3740,2,NA,829,4690,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.12.January",1990-01-12,3168,346,2,NA,5362,2126,2468,3270,2,NA,607,4444,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.13.January",1990-01-13,3323,120,2,NA,5280,1988,2241,3368,2,NA,730,4362,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.14.January",1990-01-14,3263,6117,2,NA,5445,3972,2398,2046,2,NA,2831,4481,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.15.January",1990-01-15,3204,6120,2,NA,5457,3901,2648,888,2,NA,2722,4777,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.16.January",1990-01-16,3064,301,2,NA,5487,3583,2347,223,2,NA,1143,4717,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.17.January",1990-01-17,2986,5259,2,NA,5244,3759,2294,5643,2,NA,3504,691,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.18.January",1990-01-18,3374,1939,2,NA,360,2042,3292,5627,2,NA,963,5551,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.19.January",1990-01-19,2967,4685,2,NA,6037,5119,3362,971,2,NA,3950,1536,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.20.January",1990-01-20,2744,3245,2,NA,5404,4059,2412,6124,2,NA,2561,150,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.21.January",1990-01-21,2564,2082,2,NA,5055,3272,2086,5590,2,NA,1709,5395,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.22.January",1990-01-22,2459,1240,2,NA,4854,2727,1852,5250,2,NA,1093,4811,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.23.January",1990-01-23,2362,802,2,NA,4676,2408,1700,5060,2,NA,819,4401,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.24.January",1990-01-24,2650,580,2,NA,4825,2158,1758,4710,2,NA,460,4136,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.25.January",1990-01-25,2375,347,2,NA,5508,2220,3386,4284,2,NA,136,3905,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.26.January",1990-01-26,2104,31,2,NA,5082,1920,2436,3770,2,NA,5890,3721,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.27.January",1990-01-27,1940,5960,2,NA,4755,1559,1780,3506,2,NA,5738,3393,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.28.January",1990-01-28,1843,5925,2,NA,4727,1426,1756,3408,2,NA,5682,3202,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.29.January",1990-01-29,1806,6127,2,NA,5123,1476,1879,3866,2,NA,5702,3208,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.30.January",1990-01-30,3609,6104,2,NA,1199,1933,4741,1026,2,NA,2531,4322,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.31.January",1990-01-31,2415,3243,2,NA,975,5757,5330,1759,2,NA,3579,1274,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1991.1.January",1991-01-01,226,221,NA,2,3520,1591,1694,4606,NA,2,951,5150,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.2.January",1991-01-02,486,1233,NA,2,4452,2068,1900,5595,NA,2,4009,5520,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.3.January",1991-01-03,205,1259,NA,2,5052,2089,2995,5138,NA,2,1646,5936,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.4.January",1991-01-04,119,274,NA,2,4598,1683,2429,4369,NA,2,789,5089,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.5.January",1991-01-05,76,5976,NA,2,3763,1273,1829,3747,NA,2,202,4683,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.6.January",1991-01-06,102,5584,NA,2,2955,947,1524,3349,NA,2,6057,4363,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.7.January",1991-01-07,76,5301,NA,2,2585,877,1324,4738,NA,2,4744,4177,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.8.January",1991-01-08,6058,847,NA,2,2412,3113,1253,1419,NA,2,5354,583,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.9.January",1991-01-09,4,1122,NA,2,2808,2377,1162,5793,NA,2,3995,6034,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.10.January",1991-01-10,6013,1010,NA,2,3354,1965,1470,4981,NA,2,2742,5928,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.11.January",1991-01-11,5908,265,NA,2,3434,1504,1663,4103,NA,2,1524,5318,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.12.January",1991-01-12,5965,5877,NA,2,3144,1079,1388,3654,NA,2,761,4853,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.13.January",1991-01-13,5908,5392,NA,2,2856,969,1153,3620,NA,2,112,4454,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.14.January",1991-01-14,5882,4952,NA,2,2808,897,1103,3430,NA,2,5750,4134,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.15.January",1991-01-15,5826,4745,NA,2,2556,833,1046,5139,NA,2,2373,3898,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.16.January",1991-01-16,6126,5382,NA,2,3451,6020,1093,110,NA,2,3869,3101,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.17.January",1991-01-17,280,1547,NA,2,546,1661,4318,5046,NA,2,900,5209,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.18.January",1991-01-18,5965,5091,NA,2,171,5282,4212,908,NA,2,3908,2188,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.19.January",1991-01-19,5736,3397,NA,2,5088,3725,2538,5905,NA,2,2224,786,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.20.January",1991-01-20,5908,2489,NA,2,4596,2937,2180,5530,NA,2,1238,60,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.21.January",1991-01-21,6013,1878,NA,2,4352,2609,2189,5567,NA,2,1228,5853,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.22.January",1991-01-22,5862,1365,NA,2,4229,2278,1955,4875,NA,2,241,5597,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.23.January",1991-01-23,5418,716,NA,2,3779,1776,1679,3730,NA,2,5489,5143,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.24.January",1991-01-24,5583,549,NA,2,3462,1530,1457,3142,NA,2,1104,4890,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.25.January",1991-01-25,5638,1904,NA,2,5640,2321,2388,1338,NA,2,3336,5798,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.26.January",1991-01-26,5376,5163,NA,2,16,5580,3875,1706,NA,2,4695,2337,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.27.January",1991-01-27,5475,3811,NA,2,5824,4317,2693,567,NA,2,3575,997,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.28.January",1991-01-28,5546,2835,NA,2,1035,4644,3835,1168,NA,2,4566,652,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.29.January",1991-01-29,6040,2592,NA,2,798,4207,3028,337,NA,2,4602,256,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.30.January",1991-01-30,182,2536,NA,2,1755,5515,3949,1984,NA,2,4774,615,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.31.January",1991-01-31,821,1752,NA,2,1582,5340,3737,1370,NA,2,3269,319,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.1.January",1992-01-01,5511,5570,NA,2,5986,2519,4739,3325,NA,2,4483,3038,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.2.January",1992-01-02,3834,4090,NA,2,4682,831,2792,1288,NA,2,3174,1358,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.3.January",1992-01-03,2628,3361,NA,2,3345,6001,1512,638,NA,2,2233,465,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.4.January",1992-01-04,2532,2670,NA,2,2150,5219,632,149,NA,2,1524,5979,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.5.January",1992-01-05,2520,2043,NA,2,1384,4487,6136,5932,NA,2,923,5552,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.6.January",1992-01-06,2542,1554,NA,2,949,3891,5555,5265,NA,2,501,5154,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.7.January",1992-01-07,2591,1303,NA,2,527,3435,5097,4819,NA,2,1170,4928,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.8.January",1992-01-08,2601,1844,NA,2,261,3487,4950,5462,NA,2,1657,5193,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.9.January",1992-01-09,2628,3712,NA,2,263,3447,4700,4697,NA,2,6076,470,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.10.January",1992-01-10,2542,3456,NA,2,121,4217,4549,5492,NA,2,3285,1263,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.11.January",1992-01-11,2542,1896,NA,2,6048,3261,4161,4727,NA,2,1656,5621,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.12.January",1992-01-12,2520,1513,NA,2,5952,2832,3958,4091,NA,2,1036,5100,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.13.January",1992-01-13,2440,1246,NA,2,5916,2603,3899,3791,NA,2,1682,4881,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.14.January",1992-01-14,2402,1981,NA,2,5835,3743,3761,1412,NA,2,6111,669,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.15.January",1992-01-15,2324,1467,NA,2,5723,3741,3449,257,NA,2,2285,5984,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.16.January",1992-01-16,2247,791,NA,2,5504,2584,3117,5020,NA,2,1179,4926,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.17.January",1992-01-17,2332,1333,NA,2,5712,2548,3154,5688,NA,2,4250,5002,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.18.January",1992-01-18,2201,5251,NA,2,466,5372,5263,1963,NA,2,4211,2226,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.19.January",1992-01-19,1969,2487,NA,2,25,4243,4382,5726,NA,2,1769,85,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.20.January",1992-01-20,1882,1560,NA,2,5897,3149,3346,4936,NA,2,1033,5271,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.21.January",1992-01-21,1735,1049,NA,2,5825,2492,3044,4159,NA,2,591,4780,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.22.January",1992-01-22,1607,752,NA,2,5719,2145,2818,3810,NA,2,221,4472,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.23.January",1992-01-23,1395,540,NA,2,5616,1912,2671,3496,NA,2,6066,4277,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.24.January",1992-01-24,1198,370,NA,2,5568,1745,2572,3115,NA,2,5874,4133,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.25.January",1992-01-25,1147,462,NA,2,5570,1685,2629,3349,NA,2,5808,4109,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.26.January",1992-01-26,1132,1794,NA,2,475,2079,4607,1175,NA,2,4231,5747,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.27.January",1992-01-27,1045,6113,NA,2,232,435,3894,3563,NA,2,5727,3978,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.28.January",1992-01-28,939,4403,NA,2,5935,4877,3198,1000,NA,2,3776,1837,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.29.January",1992-01-29,837,3360,NA,2,5777,3921,2926,281,NA,2,3166,645,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.30.January",1992-01-30,764,2622,NA,2,5691,3509,2781,130,NA,2,2292,98,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.31.January",1992-01-31,628,2027,NA,2,5708,3040,2823,5693,NA,2,1441,5751,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.1.January",1993-01-01,5192,4580,2,NA,3104,404,1637,635,NA,2,3674,1881,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.2.January",1993-01-02,4958,3517,2,NA,2457,5731,892,5720,NA,2,2738,651,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.3.January",1993-01-03,5479,3495,2,NA,2952,5675,1815,5619,NA,2,3139,424,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.4.January",1993-01-04,5072,3377,2,NA,3183,5961,1664,5956,NA,2,2895,495,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.5.January",1993-01-05,5009,2581,2,NA,2320,5358,668,5141,NA,2,2560,80,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.6.January",1993-01-06,4771,2632,2,NA,2013,5218,362,5465,NA,2,3276,113,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.7.January",1993-01-07,4508,2200,2,NA,1722,4830,5969,4659,NA,2,2445,5971,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.8.January",1993-01-08,4294,2856,2,NA,1534,4670,5652,6,NA,2,4869,339,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.9.January",1993-01-09,4005,2065,2,NA,1311,4471,5198,6054,NA,2,2180,6028,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.10.January",1993-01-10,3825,1402,2,NA,1075,3884,4749,5179,NA,2,1361,5224,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.11.January",1993-01-11,3754,1369,2,NA,912,3886,4403,5618,NA,2,3177,5233,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.12.January",1993-01-12,3686,1265,2,NA,779,3859,4135,90,NA,2,1347,5393,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.13.January",1993-01-13,3745,6112,2,NA,960,5517,4251,2541,NA,2,826,2795,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.14.January",1993-01-14,3670,4197,2,NA,914,4751,4477,982,NA,2,3338,859,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.15.January",1993-01-15,3510,3253,2,NA,854,4896,4400,2128,NA,2,2189,139,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.16.January",1993-01-16,5758,2787,2,NA,1707,4932,4511,1996,NA,2,3581,6123,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.17.January",1993-01-17,3254,2386,2,NA,1458,4873,5364,1435,NA,2,1622,5897,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.18.January",1993-01-18,3179,1643,2,NA,835,3822,3976,6032,NA,2,1584,5225,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.19.January",1993-01-19,3074,4650,2,NA,578,4798,3444,3644,NA,2,564,940,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.20.January",1993-01-20,2986,4210,2,NA,381,5338,3153,2095,NA,2,3376,1617,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.21.January",1993-01-21,2923,2448,2,NA,184,3735,2722,419,NA,2,1784,5930,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.22.January",1993-01-22,2852,3876,2,NA,95,3671,2556,1322,NA,2,5036,5842,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.23.January",1993-01-23,2755,4331,2,NA,75,4095,2578,737,NA,2,2855,863,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.24.January",1993-01-24,2617,2625,2,NA,6116,3017,2388,5345,NA,2,1473,5884,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.25.January",1993-01-25,2511,1829,2,NA,6019,2515,2191,4737,NA,2,834,5213,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.26.January",1993-01-26,2638,1906,2,NA,81,5477,2244,3774,NA,2,2553,4419,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.27.January",1993-01-27,2591,6105,2,NA,224,5351,2977,728,NA,2,4532,2824,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.28.January",1993-01-28,2511,4603,2,NA,69,4094,2728,5563,NA,2,3108,613,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.29.January",1993-01-29,2390,3590,2,NA,5957,3279,2215,4836,NA,2,2209,6143,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.30.January",1993-01-30,2440,2871,2,NA,5801,2786,1962,5333,NA,2,2885,5910,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.31.January",1993-01-31,2375,2680,2,NA,432,3802,3981,803,NA,2,2747,35,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1994.1.January",1994-01-01,1306,301,2,NA,5549,1830,2736,4316,NA,2,1668,3746,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.2.January",1994-01-02,1225,2208,2,NA,5578,2073,2663,4119,NA,2,3087,5097,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.3.January",1994-01-03,1147,1146,2,NA,5316,2021,2265,3216,NA,2,582,5106,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.4.January",1994-01-04,1086,540,2,NA,5107,1540,1948,2818,NA,2,1397,4128,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.5.January",1994-01-05,1672,4677,2,NA,242,3624,3880,672,NA,2,6010,447,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.6.January",1994-01-06,1225,3215,2,NA,520,4474,4774,5876,NA,2,2360,477,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.7.January",1994-01-07,1147,1429,2,NA,5658,2794,2922,4367,NA,2,1011,5189,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.8.January",1994-01-08,1115,934,2,NA,5302,2074,2379,3697,NA,2,750,4510,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.9.January",1994-01-09,1105,526,2,NA,5104,1768,2011,3582,NA,2,240,4143,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.10.January",1994-01-10,1014,99,2,NA,4887,1431,1715,2950,NA,2,2404,3651,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.11.January",1994-01-11,954,469,2,NA,4721,2931,1620,1304,NA,2,2926,4858,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.12.January",1994-01-12,1045,120,2,NA,4438,1899,1623,4576,NA,2,395,4309,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.13.January",1994-01-13,954,5909,2,NA,4301,1268,1632,3379,NA,2,6101,3469,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.14.January",1994-01-14,1014,5653,2,NA,4205,989,1626,2746,NA,2,5775,3110,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.15.January",1994-01-15,926,5431,2,NA,4082,906,1485,2379,NA,2,87,2805,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.16.January",1994-01-16,867,210,2,NA,3984,1150,1410,4295,NA,2,2762,3963,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.17.January",1994-01-17,974,6090,2,NA,3943,1481,1287,3259,NA,2,37,3935,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.18.January",1994-01-18,896,5734,2,NA,3665,1070,1196,2341,NA,2,5571,3051,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.19.January",1994-01-19,896,5115,2,NA,3488,744,1110,1872,NA,2,5653,2572,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.20.January",1994-01-20,915,4300,2,NA,3375,4542,1093,3947,NA,2,763,686,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.21.January",1994-01-21,896,1875,2,NA,3484,3589,1057,433,NA,2,2642,82,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.22.January",1994-01-22,812,627,2,NA,3365,2266,1002,5683,NA,2,1272,4959,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.23.January",1994-01-23,764,56,2,NA,3087,1602,902,4743,NA,2,469,4133,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.24.January",1994-01-24,821,5776,2,NA,3063,1245,948,4269,NA,2,589,3443,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.25.January",1994-01-25,799,5872,2,NA,4406,1506,1592,4354,NA,2,267,3306,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.26.January",1994-01-26,986,5850,2,NA,5668,2033,3848,3963,NA,2,6060,3287,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.27.January",1994-01-27,664,112,2,NA,58,2374,4974,3554,NA,2,6004,2977,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.28.January",1994-01-28,541,5692,2,NA,5222,1751,3362,3248,NA,2,5502,2880,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.29.January",1994-01-29,467,5115,2,NA,4527,1197,2288,2472,NA,2,5145,2398,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.30.January",1994-01-30,298,4827,2,NA,4014,759,1733,1593,NA,2,4934,2010,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1994.31.January",1994-01-31,226,4524,2,NA,3596,548,1408,1468,NA,2,4740,1770,NA,NA,2,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1995.1.January",1995-01-01,6013,4964,2,NA,4293,5288,1548,1142,NA,2,4101,1990,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.2.January",1995-01-02,5882,3194,2,NA,3794,3629,1283,5871,NA,2,2363,523,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.3.January",1995-01-03,5933,2371,2,NA,3587,2836,1176,5820,NA,2,3631,5991,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.4.January",1995-01-04,5862,2424,2,NA,3860,3052,1352,5544,NA,2,2234,77,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.5.January",1995-01-05,5760,1341,2,NA,3570,2295,1297,4831,NA,2,1062,5311,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.6.January",1995-01-06,5671,772,2,NA,3317,1811,1117,4442,NA,2,510,4693,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.7.January",1995-01-07,5610,318,2,NA,3084,1500,993,4003,NA,2,106,4216,NA,NA,2,NA,2
